Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
89	30.004707	51.737854	151.89172	-25.756207	430.1111	9.589969	6.1069307	30.214106	-21.097174	360000	-2.3841857e-09	173.77763	-0.01064693	-52.816	0.6442067	0.015476368	0.19325	6.0	380.07851791381836
90	33.53445	46.48805	158.24156	-27.066828	206.78947	6.921784	7.6391544	29.550745	-24.054647	364000	6.9141386e-09	249.85823	-0.010405287	-76.80611	0.6425814	0.015032863	0.22125	7.0	383.793016910553
91	23.685574	41.065903	112.13068	-33.137012	284.92856	2.6763403	10.7882805	28.939491	-32.166786	368000	1.1920929e-09	184.24869	-0.05308728	-79.51731	0.6408008	0.015019791	0.25475	79.0	388.4681963920593
92	31.966541	52.400723	139.23143	-37.905113	284.15384	5.4614897	4.645653	27.687204	-16.921274	372000	-1.5974045e-08	175.28731	-0.013482401	-45.771027	0.6285393	0.015191857	0.20925	10.0	392.9358744621277
93	51.468845	57.517776	179.9167	0.6229628	277.14285	7.859602	6.897426	29.420927	-22.324663	376000	-6.9141386e-09	229.18747	-0.013237685	-86.0556	0.6271898	0.015217307	0.17725	7.0	396.6261622905731
94	40.29998	51.070763	125.96519	-42.507816	246.6923	11.828222	4.6726923	29.438042	-10.879788	380000	-1.6570091e-08	126.06747	-0.01355782	-35.500908	0.62576723	0.015256188	0.24175	6.0	400.3071413040161
95	42.742176	45.58446	141.37723	-2.545482	279.5	10.173084	7.770141	30.818495	-20.17462	384000	1.2278557e-08	198.26381	-0.010578495	-53.923218	0.6242736	0.017505856	0.24375	6.0	404.48130893707275
96	19.878761	28.807312	111.08682	-21.789713	196.61111	11.213191	5.6096	28.707214	-14.277796	388000	-1.2665987e-08	138.78362	-0.0104645025	-42.868935	0.6227525	0.015182558	0.219	6.0	408.6836693286896
97	57.572906	38.49665	118.97296	-2.684407	311.1	7.879726	5.1498384	22.81787	-22.655567	392000	2.7179718e-08	157.79166	-0.012143324	-46.073868	0.62106085	0.017093789	0.224	8.0	412.2928538322449
98	39.290745	66.22439	172.6384	-25.672968	261.73334	13.363192	4.785772	27.31655	-10.427157	396000	-1.5616417e-08	201.61896	-0.0117660565	-61.16774	0.6184498	0.01590982	0.23825	8.0	416.0417273044586
99	80.72649	81.39224	243.8849	-12.100456	484.0	9.968591	5.3180676	28.932972	-15.148145	400000	1.6033649e-08	187.83965	-0.052207693	-55.912247	0.61580646	0.014440441	0.26175	79.0	420.3686833381653
